storeNumber,projectDate,projectTime,manager,duration,streetAddress,city,state,zipCode,totalDoors,vaultDoors,vaultShelves,vaultRun,reachInDoors,reachInFootage,reachInFootage2,uprights,phoneNumber,businessUnit,retailer,jobType,training,trainer,status,projectComments,,,,
2709881,2024-02-07,AM,Alex Leon,2,7805 N. Academy,Colorado Springs,CO,80920,11,73,,"5,4,2",,,,11,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
2709206,2024-02-19,AM,Alex Leon,1,12281 Eastlake Blvd,El Paso,TX,79938,13,13,,,,,,,915-860-7561,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709703,2024-02-20,AM,Alex Leon,1,1420 Joe Battle Blvd,El Paso,TX,79928,13,13,,,,,,,915-613-0350,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741260,2024-02-21,AM,Alex Leon,1,3898 Doniphan Dr,El Paso,TX,79922,13,13,,,,,,,915-833-8852,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741270,2024-02-22,AM,Alex Leon,1,11302 Montana Ave,El Paso,TX,79936,13,13,,,,,,,915-857-7538,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741372,2024-02-23,AM,Alex Leon,1,10001 Dyer St,El Paso,TX,79924,13,13,,,,,,,915-751-7423,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741272,2024-02-26,PM,Alex Leon,0.5,10790 N Loop Dr,Socorro,TX,79927,4,4,,,,,,,915-851-0616,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741275,2024-02-26,AM,Alex Leon,0.5,11488 Socorro Rd,Socorro,TX,79927,5,5,,,6,,,,915-855-2409,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706023,2024-02-27,AM,Alex Leon,0.5,10491 North Loop,Socorro,TX,79927,7,7,,,,,,,915-790-0402,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706333,2024-02-27,PM,Alex Leon,0.5,700 Americas Ave,El Paso,TX,79927,10,10,,,,,,,915-790-0122,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2708743,2024-02-28,PM,Alex Leon,0.5,8855 N Loop,El Paso,TX,79907,8,8,,,,,,,915-859-3714,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741299,2024-02-28,AM,Alex Leon,0.5,1135 Joe Battle Blvd,El Paso,TX,79936,8,8,,,,,,,915-872-1924,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2705305,2024-02-29,PM,Alex Leon,0.5,1471 N Zaragosa,El Paso,TX,79936,5,5,,,,,,,915-857-9486,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741257,2024-02-29,AM,Alex Leon,0.5,1239 N Zaragosa Rd,El Paso,TX,79907,7,7,,,6,,,,915-858-2745,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2701506,2024-03-01,PM,Alex Leon,0.5,1500 George Dieter,El Paso,TX,79936,8,8,,,,,,,915-857-3226,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706307,2024-03-01,AM,Alex Leon,0.5,1600 Zaragosa Rd,El Paso,TX,79936,7,7,,,,,,,915-857-5224,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741293,2024-03-04,AM,Alex Leon,1,1316 S Main St,Lordsburg,NM,88045,7,7,,,,,,,575-542-3542,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709668,2024-03-05,AM,Alex Leon,0.5,1009 W Pine St,Deming,NM,88030,10,10,,,,,,,575-546-5496,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741292,2024-03-05,PM,Alex Leon,0.5,1018 W Pine St,Deming,NM,88030,4,4,,,,,,,575-544-2802,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709669,2024-03-06,AM,Alex Leon,1,200 S Columbus,Deming,NM,88030,13,13,,,,,,,575 -548-5388,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706007,2024-03-07,PM,Alex Leon,0.5,2680 W Picacho Ave,Las Cruces,NM,88007,9,9,,,,,,,575-527-3496,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741286,2024-03-07,AM,Alex Leon,0.5,3825 Columbus Rd Se,Deming,NM,88030,7,7,,,,,,,575-546-0590,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2704397,2024-03-08,PM,Alex Leon,0.5,3925 S Main St,Las Cruces,NM,88005,,,,,,,,,,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709680,2024-03-08,AM,Alex Leon,0.5,1250 N Valley Dr,Las Cruces,NM,88005,10,10,,,,,,,575-526-6369,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706015,2024-03-11,PM,Alex Leon,0.5,12680 Montana,El Paso,TX,79938,8,8,,,,,,,915-921-7522,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2742777,2024-03-11,AM,Alex Leon,0.5,12681 Montana,El Paso,TX,79938,10,10,,,,,,,915-921-6638,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709217,2024-03-12,PM,Alex Leon,0.5,3100 Zaragoza Rd,El Paso,TX,79938,12,12,,,,,,,915-455-1204,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741255,2024-03-12,AM,Alex Leon,0.5,12190 Montwood Dr,El Paso,TX,79936,4,4,,,,,,,915-857-5224,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2703288,2024-03-13,AM,Alex Leon,0.5,2297 N Zaragosa,El Paso,TX,79938,8,8,,,,,,,915-855 1455,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741253,2024-03-13,PM,Alex Leon,0.5,2210 Joe Battle Blvd,El Paso,TX,79938,6,6,,,,12,,,915-849-8815,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2705312,2024-03-14,PM,Alex Leon,0.5,11701 Montwood,El Paso,TX,79936,9,9,,,,4,,,915-857-9687,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741531,2024-03-14,AM,Alex Leon,0.5,3291 N Zaragoza,El Paso,TX,79938,10,10,,,,,,,915-855-6244,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706021,2024-03-15,PM,Alex Leon,0.5,11685 Pebble Hills,El Paso,TX,79936,9,9,,,,,,,915-921-1518,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706309,2024-03-15,AM,Alex Leon,0.5,11390 Montwood,El Paso,TX,79936,9,9,,,,,,,915-856-7005,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2700213,2024-03-18,AM,Alex Leon,0.5,11096 Pebble Hills,El Paso,TX,79936,7,7,,,,6,,,915-590-7424,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2700890,2024-03-18,PM,Alex Leon,0.5,11101 Montwood,El Paso,TX,79936,9,9,,,,,,,915-598-1478,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706454,2024-03-19,PM,Alex Leon,0.5,1400 Lee Trevino,El Paso,TX,79936,8,8,,,,,,,915-592-8211,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2708775,2024-03-19,AM,Alex Leon,0.5,1520 Lee Trevino,El Paso,TX,79936,8,8,,,,,,,915-598-4512,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2700020,2024-03-20,AM,Alex Leon,0.5,10744 Vista Del Sol,El Paso,TX,79925,7,4,,,3,,,,915-592-1630,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741374,2024-03-20,PM,Alex Leon,0.5,7960 Gateway E,El Paso,TX,79907,4,4,,,,6,,,915-590-2956,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706112,2024-03-21,AM,Alex Leon,0.5,7800 Gateway East,El Paso,TX,79915,10,10,,,,,,,915-629-8703,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2740863,2024-03-21,PM,Alex Leon,0.5,9485 Viscount Blvd,El Paso,TX,79925,5,5,,,,,,,915-595-0887,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2703289,2024-03-22,PM,Alex Leon,0.5,2050 N Yarbrough Drive,El Paso,TX,79925,8,8,,,,,,,915-594-3360,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741356,2024-03-22,AM,Alex Leon,0.5,2101 Wedgewood Dr,El Paso,TX,79925,6,6,,,,6,,,915-592-8814,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
410,2024-03-25,AM,Alex Leon,1,2120 South Ave.,Corning,CA,96021,,,,,,,,,,WC - West Coast,Loves,Beverage,,,,,,,,
652,2024-03-26,AM,Alex Leon,1,100 Marguerite Street,Williams,CA,95987,,,,,,,,,,WC - West Coast,Loves,Beverage,,,,,,,,
538,2024-03-27,AM,Alex Leon,1,15250 North Thornton Rd,Lodi,CA,95242,,,,,,,,,,WC - West Coast,Loves,Beverage,,,,,,,,
223,2024-03-28,AM,Alex Leon,1,1553 Colony Rd.,Ripon,CA,95366,,,,,,,,,,WC - West Coast,Loves,Beverage,,,,,,,,
807,2024-04-01,AM,Alex Leon,1,55 S Rogers Rd,Patterson,CA,95363,,,,,,,,,,WC - West Coast,Loves,Beverage,,,,,,,,
898,2024-04-03,AM,Alex Leon,1,1264 De La Torre,Salinas,CA,93905,,,,,,,,,,WC - West Coast,Loves,Beverage,,,,,,,,
441,2024-04-05,AM,Alex Leon,1,29025 West Plaza Dr.,Santa Nella,CA,95322,,,,,,,,,,WC - West Coast,Loves,Beverage,,,,,,,,
736,2024-04-08,AM,Alex Leon,1,3174 Avenue 17,Madera,CA,93638,,,,,,,,,,WC - West Coast,Loves,Beverage,,,,,,,,
382,2024-04-09,AM,Alex Leon,1,2700 S. Blackstone St.,Tulare,CA,93274,,,,,,,,,,WC - West Coast,Loves,Beverage,,,,,,,,
230,2024-04-10,AM,Alex Leon,1,21948 Highway 46,Lost Hills,CA,93249,,,,,,,,,,WC - West Coast,Loves,Beverage,,,EMPTY VISI COOLERS,,,,remove products from the VISI coolers for donation.,
2701341,2024-04-15,AM,Alex Leon,0.5,26319 Us Hwy 70,Ruidoso,NM,88346,9,9,,,,,,,575-378-8409,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741285,2024-04-15,PM,Alex Leon,0.5,1616 10th St,Alamogordo,NM,88310,7,7,,,,,,,575-437-9412,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709681,2024-04-16,PM,Alex Leon,0.5,2001 Battan Memorial,Las Cruces,NM,88012,10,10,,,,,,,575-382-6995,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741296,2024-04-16,AM,Alex Leon,0.5,657 S White Sands Blvd,Alamogordo,NM,88310,7,7,,,,,,,575-434-6224,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709682,2024-04-17,AM,Alex Leon,1,4675 Sonoma Ranch,Las Cruces,NM,88011,16,16,,,,,,,575-382-6859,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709673,2024-04-18,AM,Alex Leon,0.5,3811 E Lohman Ave,Las Cruces,NM,88011,8,8,,,,,,,575-522-5121,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709677,2024-04-18,PM,Alex Leon,0.5,855 S Walnut St,Las Cruces,NM,88001,10,10,,,,,,,575-523-0191,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709665,2024-04-19,AM,Alex Leon,0.5,1501 E Amador Ave,Las Cruces,NM,88001,7,7,,,,,,,575-523-0718,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741289,2024-04-19,PM,Alex Leon,0.5,1401 E Lohman Ave,Las Cruces,NM,88001,9,9,,,,8,,,575-525-9847,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2700006,2024-04-22,AM,Alex Leon,0.5,5040 Paisano,El Paso,TX,79905,6,6,,,,8,,,915-775-0645,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741269,2024-04-22,PM,Alex Leon,0.5,4421 Montana Ave,El Paso,TX,79903,4,4,,,,,,,915-565-4820,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2701418,2024-04-23,AM,Alex Leon,0.5,"3910 ""A"" Dyer",El Paso,TX,79930,9,9,,,,,,,915-565-2453,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2708516,2024-04-23,PM,Alex Leon,0.5,4101 Piedras,El Paso,TX,79930,8,8,,,,8,,,915-565-0479,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741259,2024-04-24,AM,Alex Leon,0.5,1915 Montana Ave,El Paso,TX,79902,4,4,,,,,,,915-542-3184,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741365,2024-04-24,PM,Alex Leon,0.5,300 S Saint Vrain,El Paso,TX,79901,5,5,,,,,,,915-544-0675,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2701227,2024-04-25,AM,Alex Leon,0.5,1400 W Yandell,El Paso,TX,79902,6,6,,,,6,,,915-533-2452,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706130,2024-04-25,PM,Alex Leon,0.5,2200 N Mesa,El Paso,TX,79902,8,8,,,,,,,915-532-6257,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741350,2024-04-26,PM,Alex Leon,0.5,660 Sunland Park Dr,El Paso,TX,79912,7,7,,,,,,,915-581-5890,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741359,2024-04-26,AM,Alex Leon,0.5,4201 N Mesa St,El Paso,TX,79902,6,6,,,,8,,,915-545-2726,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706022,2024-04-29,PM,Alex Leon,0.5,900 E Redd Road,El Paso,TX,79912,9,9,,,,,,,915-833-1481,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741261,2024-04-29,AM,Alex Leon,0.5,7660 N Mesa St,El Paso,TX,79912,6,6,,,,4,,,915-584-9687,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2701190,2024-04-30,PM,Alex Leon,0.5,6996 Escondido,El Paso,TX,79912,7,7,,,,,,,915-587-0981,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2701534,2024-04-30,AM,Alex Leon,0.5,650 N Resler,El Paso,TX,79912,8,8,,,,8,,,915-833-7730,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2706098,2024-05-01,AM,Alex Leon,1,6200 N Mesa,El Paso,TX,79912,9,9,,,,,,,915-585-0790,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741749,2024-05-02,AM,Alex Leon,1,9121 Dyer St,El Paso,TX,79924,,,,,,,,,,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741120,2024-01-04,AM,Catherine Wheeler-Mushlin,2,385 E Bromley Lane,Brighton,CO,80601,11,,74,4/4/3/0,,,,14,,RM - Rocky Mountain,Circle K,Flex Roller,,,Completed,,,,,
2741125,2024-01-08,AM,Catherine Wheeler-Mushlin,2,4780 E Bromley Ln,Brighton,CO,80601,9,,62,,,,,0,,RM - Rocky Mountain,Circle K,Flex Roller,,,Completed,,,,,
2709839,2024-01-10,AM,Catherine Wheeler-Mushlin,2,12051 North Huron Street,Westminster,CO,80234,11,,74,"4,5,2",,,,15,,RM - Rocky Mountain,Circle K,Flex Roller,,,Completed,,,,,
2709862,2024-01-16,AM,Catherine Wheeler-Mushlin,2,290 W. 104th Ave,Northglenn,CO,80234,13,,87,"3,3,4,2,1",,,,18,,RM - Rocky Mountain,Circle K,Flex Roller,,,Completed,,,,,
2740648,2024-01-17,AM,Catherine Wheeler-Mushlin,2,8290 N Washington St,Thornton,CO,80229,9,,61,,,,,0,,RM - Rocky Mountain,Circle K,Flex Roller,,,Completed,,,,,
2741126,2024-01-22,AM,Catherine Wheeler-Mushlin,2,13185 S. Parker Rd,Parker,CO,80134,9,,61,,,,,0,,RM - Rocky Mountain,Circle K,Flex Roller,,,Completed,Completed in 1 day,,,,
2709901,2024-01-24,AM,Catherine Wheeler-Mushlin,1.5,246 Founders Parkway,Castle Rock,CO,80104,12,,81,"3,5,4",,,,15,,RM - Rocky Mountain,Circle K,Flex Roller,,,,Started 1-23-24,,,,
2740666,2024-01-25,PM,Catherine Wheeler-Mushlin,1.5,94 Wolfensberger Rd,Castle Rock,CO,80109,12,,78,,,,,0,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
2744074,2024-01-29,AM,Catherine Wheeler-Mushlin,2,5601 Quebec St,Commerce City,CO,80022,14,,93,4/4/4/2,,,,0,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
2709888,2024-01-31,AM,Catherine Wheeler-Mushlin,2,15065 W. Colfax Ave,Lakewood,CO,80401,9,,58,"1,4,4",,,,12,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
2709884,2024-02-02,AM,Catherine Wheeler-Mushlin,1,9207 W. Jewell Avenue,Lakewood,CO,80232,8,,54,,,,,0,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
2709899,2024-02-05,AM,Catherine Wheeler-Mushlin,1,2290 S. Havana,Aurora,CO,80014,9,,63,,,,,0,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
2709852,2024-02-06,AM,Catherine Wheeler-Mushlin,2,15291 E. Hampden Ave.,Aurora,CO,80014,12,,81,"2,1,5,4",,,,17,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
2709872,2024-02-08,AM,Catherine Wheeler-Mushlin,2,4200 S. Parker Road,Aurora,CO,80014,15,,101,"3,3,5,4",,,,21,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
2709879,2024-02-13,AM,Catherine Wheeler-Mushlin,2,7550 S. University Blvd,Centennial,CO,80122,10,,62,"1,5,4",,,,13,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
2709886,2024-02-15,AM,Catherine Wheeler-Mushlin,2,9275 South Broadway,Highlands Ranch,CO,80129,12,,80,"1,2,5,4",,,,17,,RM - Rocky Mountain,Circle K,Flex Roller,,,,,,,,
2744089,2024-02-19,AM,Catherine Wheeler-Mushlin,1,330 S Kalamath St,Denver,CO,80223,5,5,,,,,,,303-777-0611,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2703290,2024-02-20,AM,Catherine Wheeler-Mushlin,1,411 W Florida Ave,Denver,CO,80223,10,10,,,,,,,303-282-6561,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709898,2024-02-21,AM,Catherine Wheeler-Mushlin,1,2200 W Evans,Englewood,CO,80110,6,6,,,,,,,303-922-4949,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2740691,2024-02-22,AM,Catherine Wheeler-Mushlin,1,2010 W Evans Ave,Englewood,CO,80110,7,7,,,,,,,303-934-6665,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2744079,2024-02-23,AM,Catherine Wheeler-Mushlin,1,2210 S Colorado Blvd,Denver,CO,80222,5,5,,,,,,,303-756-8611,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709869,2024-02-26,AM,Catherine Wheeler-Mushlin,0.5,3694 W Bowles Ave,Littleton,CO,80123,9,9,,,,,,,303-798-5233,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709876,2024-02-26,PM,Catherine Wheeler-Mushlin,0.5,5095 S Federal Blvd,Englewood,CO,80110,6,6,,,,,,,303-795-9482,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2744098,2024-02-27,AM,Catherine Wheeler-Mushlin,0.5,4596 S Broadway,Englewood,CO,80110,7,4,,,3,,,,303-789-0649,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2744123,2024-02-27,PM,Catherine Wheeler-Mushlin,0.5,1599 W Littleton Blvd,Littleton,CO,80120,7,7,,,,,,,303-730-8350,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741109,2024-02-28,AM,Catherine Wheeler-Mushlin,0.5,6857 S Broadway,Littleton,CO,80122,11,6,,,5,,,,303-798-8451,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741159,2024-02-28,PM,Catherine Wheeler-Mushlin,0.5,34 Centennial Blvd,Highlands Ranch,CO,80126,9,3,,,6,,,,303-683-9489,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741161,2024-02-29,AM,Catherine Wheeler-Mushlin,0.5,8071 Blakeland Dr,Littleton,CO,80125,9,3,,,6,,,,303-683-8897,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2744118,2024-03-01,AM,Catherine Wheeler-Mushlin,0.5,2020 E County Line Rd,Highlands Ranch,CO,80126,7,4,,,3,,,,303-730-0948,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
30,2024-03-04,AM,Catherine Wheeler-Mushlin,1,1537 Grande Ave.,Monte Vista,CO,81144,7,,,,,,,,,RM - Rocky Mountain,Loves,Beverage,,,,COMPLETE LOVES BOF SURVEY,,,,
7,2024-03-05,AM,Catherine Wheeler-Mushlin,1,108 S 12th St,Gunnison,CO,81230,11,,,,,,,,,RM - Rocky Mountain,Loves,Beverage,,,,,,,,
115,2024-03-06,AM,Catherine Wheeler-Mushlin,1,115 Harrison Ave,Buena Vista,CO,81211,9,,,,,,,,,RM - Rocky Mountain,Loves,Beverage,,,,,,,,
357,2024-03-07,AM,Catherine Wheeler-Mushlin,1,5505 Travel Plaza Drive,Fountain,CO,80817,9,,,,,,,,,RM - Rocky Mountain,Loves,Beverage,,,,,,,,
2709837,2024-03-11,AM,Catherine Wheeler-Mushlin,0.5,5885 Constitution Avenue,Colorado Springs,CO,80915,8,8,,,,,,,719-638-6823,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709871,2024-03-11,PM,Catherine Wheeler-Mushlin,0.5,3805 Maizeland,Colorado Springs,CO,80909,6,6,,,,,,,719-574-9519,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2740693,2024-03-12,AM,Catherine Wheeler-Mushlin,0.5,3290 Austin Bluffs Pkwy,Colorado Springs,CO,80918,8,3,,,5,,,,719-590-1442,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741137,2024-03-12,PM,Catherine Wheeler-Mushlin,0.5,4805 Barnes Rd,Colorado Springs,CO,80917,7,3,,,4,,,,719-596-1367,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2703291,2024-03-13,AM,Catherine Wheeler-Mushlin,0.5,6135 N Carefree Circle,Colorado Springs,CO,80922,10,10,,,,,,,719-574-0555,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741190,2024-03-13,PM,Catherine Wheeler-Mushlin,0.5,5553 Austin Bluffs Pkwy,Colorado Springs,CO,80918,7,3,,,4,,,,719-260-9524,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2703293,2024-03-14,AM,Catherine Wheeler-Mushlin,0.5,5995 Dublin Road,Colorado Springs,CO,80922,9,9,,,,,,,719-574-2360,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741173,2024-03-14,PM,Catherine Wheeler-Mushlin,0.5,11769 E Us Hwy 24,Falcon,CO,80831,8,8,,,,,,,719-495-3945,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2704590,2024-03-15,AM,Catherine Wheeler-Mushlin,0.5,7492 Black Forest Road,Colorado Springs,CO,80910,9,9,,,,,,,719-495-2180,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2709843,2024-03-15,PM,Catherine Wheeler-Mushlin,0.5,7480 Austin Bluffs Parkway,Colorado Springs,CO,80918,6,6,,,,,,,719-266-9163,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
12,2024-03-18,AM,Catherine Wheeler-Mushlin,1,308 E 1st St,LaJunta,CO,81050,9,,,,,,,,,RM - Rocky Mountain,Loves,Beverage,,,,,,,,
37,2024-03-19,AM,Catherine Wheeler-Mushlin,1,1100 Main St,Springfield,CO,81073,7,,,,,,,,,RM - Rocky Mountain,Loves,Beverage,,,,,,,,
38,2024-03-20,AM,Catherine Wheeler-Mushlin,1,301 E Olive St,Lamar,CO,81052,7,,,,,,,,,RM - Rocky Mountain,Loves,Beverage,,,,,,,,
23,2024-03-21,AM,Catherine Wheeler-Mushlin,1,605 N Main St,Lamar,CO,81052,9,,,,,,,,,RM - Rocky Mountain,Loves,Beverage,,,,,,,,
653,2024-03-22,AM,Catherine Wheeler-Mushlin,1,15596 US Highway 287,Eads,CO,81036,9,,,,,,,,,RM - Rocky Mountain,Loves,Beverage,,,,COMPLETE LOVES BOF SURVEY,,,,
2709853,2024-03-25,PM,Catherine Wheeler-Mushlin,0.5,15593 East Iliff Ave,Aurora,CO,80013,7,7,,,,,,,303-283-9758,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741136,2024-03-25,AM,Catherine Wheeler-Mushlin,0.5,2121 S Chambers Rd,Aurora,CO,80014,8,3,,,5,,,,303-337-6124,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
2741128,2024-03-26,AM,Catherine Wheeler-Mushlin,0.5,2601 S Tower Rd,Aurora,CO,80013,8,3,,,5,,,,303-695-8089,RM - Rocky Mountain,Circle K,Center Store,,,,,,,,
